hall_id,result_date,machine_key,machine_name,units,avg_diff,avg_games,winning_units,total_units,selected_flag,source_name
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_1cc232ca638d,Lパチスロ かぐや様は告らせたい,8,-323.328,6736.0,2,8,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_08fe3e1d242c,アレックス ブライト,2,-460.26,7671.0,0,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_a64798a79af5,ゴーゴージャグラー３,7,-635.97,6235.0,0,7,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_51c1dba77a9a,Lパチスロ炎炎ノ消防隊2,3,-650.187,8027.0,1,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_1f8fe88f89c3,Lパチスロ革命機ヴァルヴレイヴ2,10,-744.624,5171.0,1,10,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_f14ac0c028f1,Lパチスロうみねこのなく頃に2,2,-749.175,7135.0,0,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_e4dc23c0c987,L東京喰種,11,-838.272,7552.0,5,11,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_42a06de3cf8f,L不二子BT,2,-946.647,3627.0,0,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_e8b8281bb659,スマスロモンキーターンV,11,-983.238,4429.0,3,11,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_d2555de17260,ミスタージャグラー,4,-1063.392,4028.0,0,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_1bff968a5780,スマスロ北斗の拳 転生の章2,15,-1158.57,5517.0,2,15,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_2191462ac6f1,沖ドキ！ＧＯＬＤ,2,-1523.49,2362.0,0,2,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_cafc0aa56b5f,スマスロ 甲鉄城のカバネリ 海門決戦,11,-1541.466,5906.0,3,11,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_3e5bf1d252af,Lアズールレーン THE ANIMATION,3,-1619.724,6278.0,0,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_97cc04be1f72,スマスロ ミリオンゴッド-神々の軌跡-,4,-1679.94,8235.0,1,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_c7bcbf5cb320,L戦国乙女４　戦乱に閃く炯眼の軍師,4,-1754.298,3822.0,1,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_ad62ce614a62,スマスロ シャーマンキング,3,-1946.43,4806.0,0,3,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_7e26b36032cf,Lパチスロからくりサーカス,4,-1971.993,4729.0,1,4,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_a7b4235f73cd,真打 吉宗,6,-2046.543,6037.0,1,6,0,min-repo_machine_detail
ikegami_big_dipper_togoshi_ginza,2026-05-23,bd_32f834ae3e07,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2,-2293.299,4869.0,0,2,0,min-repo_machine_detail
